Date,,Berri1,Boyer,Boyer 2,Brébeuf,Christophe-Colomb,CSC (Côte Sainte-Catherine),Eco-Display Parc Stanley,Eco-Totem - Métro Laurier,Edmond Valade,Gouin / Lajeunesse,Maisonneuve_2,Maisonneuve_3,Notre-Dame,Parc,PierDup,Pont Jacques-Cartier,Rachel / Hôtel de Ville,Rachel / Papineau,René-Lévesque,Saint-Antoine,Saint-Laurent/Bellechasse,Saint-Urbain,Viger
17/01/2018,00:00,460,259,176,37,55,213,,215,0,0,488,105,105,181,3,32,290,534,127,54,596,102,
18/01/2018,00:00,449,279,199,13,58,204,,237,0,0,539,112,21,234,19,7,337,552,136,44,647,197,
19/01/2018,00:00,399,259,203,15,54,195,,320,0,0,528,116,0,244,9,72,281,485,113,48,650,158,
20/01/2018,00:00,163,134,132,7,19,75,,234,0,0,221,64,0,94,6,8,237,292,40,9,376,114,
21/01/2018,00:00,160,138,113,7,20,48,,208,0,0,212,66,0,86,14,4,219,311,33,15,314,101,
22/01/2018,00:00,428,290,216,9,63,317,,395,0,0,506,106,0,245,7,33,305,554,133,39,653,189,
23/01/2018,00:00,136,124,71,1,7,0,,137,0,0,240,52,0,31,2,4,53,227,53,22,214,34,
24/01/2018,00:00,267,262,184,14,46,69,,140,0,0,325,88,0,106,2,84,208,415,33,56,429,13,
25/01/2018,00:00,328,219,183,6,36,134,,201,0,0,380,85,0,113,6,33,225,459,7,65,471,15,
26/01/2018,00:00,316,239,179,28,51,115,,230,0,0,405,107,0,109,6,76,251,443,9,55,487,7,
27/01/2018,00:00,127,110,80,9,17,48,,145,0,0,176,35,0,40,5,10,137,268,8,14,248,4,
28/01/2018,00:00,168,139,135,14,18,73,,178,0,0,208,51,0,63,14,16,196,275,10,11,314,14,
29/01/2018,00:00,435,273,116,3,56,246,,351,0,0,462,97,0,214,12,15,293,552,106,55,621,18,
30/01/2018,00:00,489,302,127,2,56,243,,430,0,0,511,121,0,239,6,7,294,556,130,61,607,35,
31/01/2018,00:00,462,253,240,45,65,224,,589,0,101,473,136,0,229,9,22,269,562,128,58,573,42,
01/02/2018,00:00,421,258,205,6,19,138,,310,0,16,479,106,0,176,7,47,273,552,94,55,543,49,
02/02/2018,00:00,405,228,176,10,38,144,,400,0,13,466,106,0,161,8,5,220,433,91,47,507,48,
03/02/2018,00:00,124,96,83,3,3,51,,320,0,1,37,38,0,30,4,3,131,195,16,6,211,28,
04/02/2018,00:00,57,71,32,23,7,7,,136,0,1,99,34,0,27,4,0,76,172,7,6,107,13,
05/02/2018,00:00,273,214,157,16,22,125,,422,0,0,417,98,0,176,4,35,203,477,55,55,453,14,
06/02/2018,00:00,420,240,197,5,53,157,,409,0,0,445,104,0,201,6,101,241,520,108,39,560,6,
07/02/2018,00:00,300,200,127,17,16,111,,528,0,0,312,80,0,126,6,3,221,409,72,32,459,86,
08/02/2018,00:00,293,225,177,30,23,45,,220,0,67,375,87,0,175,2,4,217,512,43,39,530,22,
09/02/2018,00:00,362,240,177,9,46,159,,172,0,19,486,95,0,228,13,1,228,502,65,44,487,24,
10/02/2018,00:00,87,74,47,6,12,26,,124,0,4,176,43,0,40,9,2,127,248,12,11,202,19,
11/02/2018,00:00,77,73,59,3,3,6,,118,0,31,100,25,0,25,4,1,80,179,21,12,140,11,
12/02/2018,00:00,348,243,186,9,25,149,,378,0,22,417,130,0,184,5,3,257,541,82,49,481,4,
13/02/2018,00:00,442,270,201,3,42,189,,454,0,24,507,128,0,266,9,6,303,554,119,48,642,6,
14/02/2018,00:00,428,285,253,6,58,253,,480,0,30,562,125,0,277,9,1,365,593,116,56,712,84,
15/02/2018,00:00,446,292,252,25,61,280,,489,15,36,509,115,0,292,7,0,335,593,131,44,718,166,
16/02/2018,00:00,371,297,198,13,58,146,,313,0,35,471,116,0,220,7,2,299,517,113,51,646,156,
17/02/2018,00:00,120,108,38,10,10,55,,204,0,3,160,43,0,39,4,9,161,231,43,10,297,54,
18/02/2018,00:00,169,113,69,4,11,74,,216,0,3,206,49,0,68,21,1,210,291,41,11,270,78,
19/02/2018,00:00,487,312,246,5,78,244,,530,1,31,540,153,0,332,13,4,384,663,131,54,728,194,
20/02/2018,00:00,376,223,181,6,43,211,,403,0,22,436,118,0,250,5,6,287,481,114,36,537,156,
21/02/2018,00:00,488,318,256,7,77,324,,558,0,51,640,182,0,313,13,9,433,699,133,49,779,247,
22/02/2018,00:00,545,288,231,17,74,328,,480,4,49,587,166,0,354,8,41,370,662,148,49,834,233,
23/02/2018,00:00,374,209,172,15,55,229,,451,0,33,462,142,0,243,4,0,316,554,121,40,634,196,
24/02/2018,00:00,309,245,183,15,47,148,,352,0,57,394,119,0,175,36,5,338,478,67,20,549,148,
25/02/2018,00:00,114,84,52,1,11,32,,198,0,14,148,29,0,49,7,0,133,208,39,11,214,57,
26/02/2018,00:00,476,348,255,14,73,325,,562,0,61,782,196,0,420,24,4,468,715,160,63,890,266,
27/02/2018,00:00,749,472,357,40,126,433,,755,5,93,1028,316,0,579,39,42,640,1015,216,67,1208,337,
28/02/2018,00:00,590,401,336,26,92,425,,689,4,67,904,280,0,489,14,3,575,915,183,51,1024,327,
01/03/2018,00:00,743,486,413,33,150,455,,699,8,117,1033,301,0,613,15,32,563,969,234,63,1331,366,
02/03/2018,00:00,533,319,292,17,89,325,,603,2,62,767,217,0,428,6,4,449,736,166,58,959,298,
03/03/2018,00:00,346,217,191,13,41,150,,395,4,73,419,174,0,171,29,21,393,563,107,14,640,218,
04/03/2018,00:00,246,203,128,25,45,121,,306,0,27,307,96,0,115,41,7,288,456,83,18,487,135,
05/03/2018,00:00,610,360,268,24,73,280,,608,5,76,894,254,70,427,15,18,480,770,189,59,947,321,
06/03/2018,00:00,769,460,371,41,114,320,,720,3,100,1062,310,194,571,22,12,546,923,251,73,1155,395,
07/03/2018,00:00,619,369,274,30,76,268,,624,1,78,844,233,153,458,15,21,493,790,220,61,991,344,
08/03/2018,00:00,372,243,162,7,30,182,,343,4,31,585,163,77,259,2,16,315,518,123,42,661,193,
09/03/2018,00:00,442,266,195,1,22,167,,377,0,29,600,145,77,237,16,28,405,617,117,46,617,180,
10/03/2018,00:00,191,168,127,10,16,85,,253,2,21,276,114,37,102,16,0,280,388,39,9,422,137,
11/03/2018,00:00,176,101,109,5,17,61,,211,3,7,50,67,32,79,12,7,230,304,43,11,333,118,
12/03/2018,00:00,627,401,333,16,103,384,,632,6,112,919,242,158,500,23,8,548,877,225,72,1131,305,
13/03/2018,00:00,474,318,234,5,50,479,,503,7,38,614,186,99,321,7,10,371,607,139,46,741,212,
14/03/2018,00:00,368,210,146,2,30,83,,273,3,21,428,109,35,164,3,17,227,442,73,42,421,76,
15/03/2018,00:00,454,317,189,0,48,187,,410,1,30,532,154,73,252,13,33,333,699,135,61,642,107,
16/03/2018,00:00,503,297,238,4,69,223,,557,3,64,625,174,79,303,11,5,426,677,158,53,800,206,
17/03/2018,00:00,204,181,120,5,21,99,,480,4,2,51,84,24,107,10,19,222,337,49,11,392,131,
18/03/2018,00:00,177,113,104,22,15,78,,400,1,22,251,91,23,81,22,14,189,313,41,12,357,108,
19/03/2018,00:00,508,318,265,5,71,332,,647,3,67,669,188,117,394,10,10,397,704,171,48,887,221,
20/03/2018,00:00,654,350,317,6,105,355,,752,2,86,808,232,151,483,22,41,518,821,197,65,1093,309,
21/03/2018,00:00,715,389,332,4,111,469,,907,5,102,1010,311,186,563,17,34,581,978,221,55,1162,371,
22/03/2018,00:00,832,544,450,7,158,494,,901,3,106,1231,326,203,647,39,55,714,1185,295,62,1460,445,
23/03/2018,00:00,857,517,424,11,151,479,,961,5,129,1065,360,207,651,43,67,758,1100,278,97,1400,407,
24/03/2018,00:00,415,365,281,22,96,250,,609,3,88,619,214,81,313,48,74,588,814,109,32,941,261,
25/03/2018,00:00,492,381,330,33,107,232,,588,13,117,613,202,108,297,89,,646,866,120,17,964,248,
26/03/2018,00:00,1022,692,529,29,198,686,,1025,3,146,1398,501,283,900,72,151,890,1409,340,92,1763,497,
27/03/2018,00:00,1253,801,599,42,250,781,,1079,2,192,1623,570,345,974,72,237,882,1512,376,92,1725,590,
28/03/2018,00:00,1025,581,390,64,174,638,,1011,5,120,1271,446,243,796,44,128,800,1263,284,75,1556,457,
29/03/2018,00:00,1169,703,565,63,250,743,,1129,11,158,1437,534,253,901,51,160,973,1513,345,71,1660,311,
30/03/2018,00:00,605,549,425,82,120,309,,847,18,123,924,370,187,404,98,84,766,1007,186,41,1059,217,
31/03/2018,00:00,671,653,485,115,249,382,,806,16,180,905,370,259,404,242,78,969,1225,220,46,1168,352,
01/04/2018,00:00,322,375,260,102,136,229,,465,16,54,506,197,117,233,76,41,429,678,99,17,782,213,
02/04/2018,00:00,646,683,542,521,205,444,,771,34,123,987,392,257,527,183,483,874,1208,242,42,1405,385,
03/04/2018,00:00,1798,942,740,826,295,928,,1270,13,155,1776,687,457,1052,130,609,1198,1599,502,119,2282,657,
04/04/2018,00:00,645,318,284,239,67,292,,553,3,36,674,212,138,398,19,157,434,630,177,51,871,233,
05/04/2018,00:00,1022,482,349,444,143,515,,755,10,60,986,317,192,597,42,301,654,994,243,73,1255,343,
06/04/2018,00:00,1115,623,465,554,175,622,,1039,14,94,1237,416,253,759,75,370,809,1197,279,92,1503,468,
07/04/2018,00:00,580,534,338,385,102,287,,717,14,43,653,231,132,326,74,308,688,951,125,30,1136,306,
08/04/2018,00:00,594,515,,428,135,381,,657,14,69,685,248,149,331,93,391,620,872,147,43,1127,260,
09/04/2018,00:00,1648,917,,919,290,1003,,1176,19,124,1658,649,464,1255,132,735,1033,1596,502,130,2278,620,
10/04/2018,00:00,2041,1156,,1230,403,1096,,1375,18,145,2157,723,551,1561,219,815,1218,1898,603,160,2688,760,
11/04/2018,00:00,2652,1452,,1567,418,1243,,1797,28,205,2743,846,678,2220,267,1011,1466,2318,774,166,3301,931,
12/04/2018,00:00,2198,1223,,1379,368,1096,,1690,26,122,2398,723,637,1755,187,757,1346,1963,678,160,2431,751,
13/04/2018,00:00,2386,1457,,1538,452,1202,,1479,19,189,2613,887,692,1879,336,924,1643,2329,769,219,3083,817,
14/04/2018,00:00,779,624,,637,127,334,,1017,10,52,955,298,167,538,53,282,895,1071,161,37,1313,348,
15/04/2018,00:00,416,323,,323,44,185,,583,5,23,567,156,73,270,37,124,482,559,87,19,761,205,
16/04/2018,00:00,321,181,,179,33,106,,372,0,16,504,97,79,219,15,8,316,404,107,31,409,112,
17/04/2018,00:00,1230,641,,767,205,511,,1022,7,86,1323,417,305,988,71,268,804,1156,368,98,3515,477,
18/04/2018,00:00,1601,841,,1012,243,593,,1255,6,125,1880,478,421,1189,148,496,1099,1505,494,172,2503,578,
19/04/2018,00:00,2088,1013,,1214,328,802,,1470,13,158,2207,666,516,1493,214,601,1402,1758,584,204,2571,621,
20/04/2018,00:00,1989,1246,,1359,318,824,,1710,12,169,2339,706,466,1632,217,627,1735,1988,569,110,2865,685,
21/04/2018,00:00,2308,2179,,2251,604,843,,1893,30,276,2373,911,681,1340,1025,1467,2296,2946,704,108,3393,786,
22/04/2018,00:00,2888,2644,,2757,1049,1113,,2047,48,410,2559,1190,1026,1711,1661,1875,3141,3461,983,138,3768,835,
23/04/2018,00:00,4595,3188,,3661,1050,2032,,2842,79,544,4712,1704,1594,3518,1642,2125,3002,4407,1666,451,5647,1748,
24/04/2018,00:00,5501,3589,,4056,1326,2197,,3050,55,595,5362,1875,1888,3948,1924,2608,3452,5043,2018,616,6315,1882,
25/04/2018,00:00,1756,1012,300,1222,342,742,,1396,8,143,1883,632,512,1398,208,605,1243,1776,575,190,2287,649,
26/04/2018,00:00,1175,722,742,792,219,484,,1065,11,107,1424,424,338,1037,98,634,931,1345,354,127,1723,421,
27/04/2018,00:00,3919,2566,1326,2958,941,1518,,2597,44,395,4198,1332,1231,2908,1205,1882,2568,3695,1290,443,4948,1331,
28/04/2018,00:00,2027,1726,1048,1755,448,750,,1837,26,164,2155,742,496,1302,855,1176,2163,2514,537,132,2896,730,
29/04/2018,00:00,500,543,297,503,100,246,,727,4,59,637,192,146,422,48,236,634,828,130,43,1004,219,
30/04/2018,00:00,1837,1154,744,1354,295,715,,1528,9,164,2062,634,538,1563,322,707,1392,1942,591,226,2450,568,
01/05/2018,00:00,4977,3222,2083,3795,1172,1985,,2973,32,611,5054,8,1605,3720,1550,2375,3192,4533,1801,568,6020,1466,
02/05/2018,00:00,5046,3009,2006,3692,1044,1974,,3021,39,457,5109,0,1592,3786,1160,1938,3068,4777,1808,557,5968,1416,
03/05/2018,00:00,3032,1693,1105,2023,593,1229,,1925,17,267,2962,0,906,2277,454,1214,1707,2661,1045,305,3477,771,
04/05/2018,00:00,2711,1613,1036,1978,474,992,,1947,18,195,2957,0,774,2106,479,907,1833,2663,960,329,3363,789,
05/05/2018,00:00,3655,3313,2187,3428,1232,1219,,2736,46,437,3398,0,1204,2068,2319,2195,3695,4177,1186,245,4643,1094,
06/05/2018,00:00,3285,3441,2107,3380,1267,1339,,2869,62,504,3437,0,1391,1805,1690,2059,3835,4486,1224,251,4937,1056,
07/05/2018,00:00,5686,3858,2482,4382,1350,2567,,3336,61,704,5743,0,2029,4430,1583,2638,3499,5334,2221,634,6814,1739,
08/05/2018,00:00,7144,4654,3105,5457,1813,2954,,4164,51,865,7084,0,2556,5084,2529,3325,4470,6684,2780,855,8113,2214,
09/05/2018,00:00,7261,5141,3332,5935,1961,3152,,4367,52,897,7174,,2750,5305,2618,3615,4680,7235,3015,830,8406,2155,
10/05/2018,00:00,4497,2704,1717,3179,805,1771,,2947,29,381,4704,343,1461,3532,742,1492,3304,4151,1651,573,5648,1266,
11/05/2018,00:00,4802,3295,2109,3764,1043,1934,,3384,37,430,5162,1684,1684,3565,1231,2003,3348,4686,1853,567,6297,1371,
12/05/2018,00:00,3708,4001,2181,3705,1309,1400,,3462,64,436,3664,1437,1287,2070,1916,2290,3835,5009,1268,244,5355,1174,
13/05/2018,00:00,3621,4099,2414,4007,1523,1560,,3203,75,547,3552,1473,1439,2154,2373,2692,4292,5106,1394,279,5077,1033,
14/05/2018,00:00,6692,4863,3177,5487,1756,2801,,4305,63,813,6873,2535,2675,4950,2338,3241,4186,6449,2870,832,7943,1809,
15/05/2018,00:00,4835,3293,2224,3782,1152,2086,,3047,34,536,4629,1646,1826,3530,1439,2439,3115,4849,1945,599,5985,1229,
16/05/2018,00:00,7102,4826,3048,5510,1710,2885,,4352,58,763,7007,2393,2572,4937,2305,3331,4523,6827,2871,859,8083,1881,
17/05/2018,00:00,6657,4280,2679,4922,1419,2608,,3908,41,655,6422,2191,2292,4537,2036,2772,4060,6203,2509,719,7969,1847,
18/05/2018,00:00,5873,4068,2633,4611,1365,2214,,3833,59,545,5996,2004,1976,4067,1617,2410,4125,5792,2312,637,7336,1852,
19/05/2018,00:00,1984,1890,1185,1873,571,708,,1774,26,239,2049,755,650,962,940,1355,2043,2640,691,132,2924,800,
20/05/2018,00:00,2876,2628,1679,2478,887,966,,2164,54,317,2953,1121,1068,1429,1708,2081,3095,3525,973,201,3743,839,
21/05/2018,00:00,4754,4744,2958,4676,2158,1496,,3140,80,756,3747,1938,2164,1818,4045,3912,4145,5623,2119,324,5166,1164,
22/05/2018,00:00,4914,3030,2112,3750,1023,2045,,3197,31,514,5007,1625,1830,3196,1124,1966,2952,4644,1998,591,5917,1530,
23/05/2018,00:00,6522,4366,2928,5200,1586,2709,,4031,58,898,6416,2208,2514,3991,1873,2983,4327,6402,2670,828,8086,1961,
24/05/2018,00:00,7283,4818,3068,5751,1762,2899,,4292,81,701,7016,2372,2625,4081,2048,3091,4797,6927,2878,820,8442,2095,
25/05/2018,00:00,6572,4495,2755,5216,1556,2345,,3861,75,540,6322,2093,2325,3406,1708,2611,4252,6465,2614,731,7597,1977,
26/05/2018,00:00,2947,2787,1544,2724,748,965,,2542,59,258,3276,995,912,1255,898,1297,3052,3609,992,228,4183,1038,
27/05/2018,00:00,2807,2573,1484,2568,763,1067,,2134,28,299,3247,1044,917,1378,1410,1749,2915,3481,1095,210,3670,1070,
28/05/2018,00:00,4997,3335,2161,3900,1193,2282,,3462,42,423,5464,1867,1870,3347,1356,2083,3410,5088,2017,685,6561,1668,
29/05/2018,00:00,7647,5383,3705,6130,2108,3442,1738,4710,91,790,7981,2784,3154,4632,2758,3641,5114,7576,3479,946,9406,2320,
30/05/2018,00:00,7768,5577,3600,6284,2069,3224,2094,4848,86,752,8030,2836,3100,4574,2185,3709,5237,7826,3465,967,8973,2305,
31/05/2018,00:00,7048,5002,3304,5637,1730,3017,1547,4319,70,629,7354,2458,2836,4221,1639,3139,4522,7110,3091,874,8835,2170,
01/06/2018,00:00,5674,4740,2825,4892,1279,2938,967,6675,59,403,6363,1930,1976,3941,1076,1975,7544,7473,2198,685,8496,2034,
02/06/2018,00:00,5204,5385,3176,4890,1835,1989,2249,4100,63,668,4974,1800,1997,2161,1997,2886,5223,6897,2045,382,6803,1729,
03/06/2018,00:00,4314,6059,3504,5049,2010,2883,2666,4393,92,641,4949,1874,1943,3995,2037,4114,10606,8376,1618,327,8541,2202,
04/06/2018,00:00,1256,848,524,977,218,575,140,1301,5,96,1566,469,427,920,117,554,1124,1589,525,189,1807,537,
05/06/2018,00:00,4360,2792,1691,3266,795,1977,633,3051,40,291,67,1555,1337,2882,556,1691,3274,4385,1624,601,5761,1587,
06/06/2018,00:00,6154,4067,2748,4834,1500,2682,1250,4019,78,629,59,2193,2310,3894,1060,3217,4308,6017,2648,760,7879,2251,
07/06/2018,00:00,6667,4395,2777,4880,1456,2784,1029,4151,87,538,5502,2318,2381,4102,1104,2993,4578,6484,1921,841,8492,2269,
08/06/2018,00:00,7393,5055,3277,5583,1775,2699,1808,4437,78,643,5817,2348,2821,4074,1314,3624,5243,7232,1481,852,9280,2459,
09/06/2018,00:00,5636,4751,2970,4729,1695,1699,2171,3567,34,560,3931,1852,1925,2331,1311,3251,5115,6334,926,406,7203,1889,
10/06/2018,00:00,5022,4589,2930,4359,1952,1689,2804,3307,70,588,3370,1674,1859,2102,1646,3812,4875,5629,934,325,6507,1596,
11/06/2018,00:00,7392,5056,3214,5445,1934,2888,1839,4365,83,693,7328,2556,2856,4437,1356,3338,4760,6565,1457,940,8666,2454,
12/06/2018,00:00,8812,5331,3335,6367,2023,3250,1768,4721,101,805,7888,2795,3045,4728,1738,3656,5097,7363,1641,824,9811,2934,
13/06/2018,00:00,5003,3036,1955,3576,979,1976,718,3336,49,378,5190,1717,1672,2992,907,1909,3193,4527,909,596,6958,1581,
14/06/2018,00:00,2907,1675,1152,2127,449,1104,256,2273,35,160,3273,931,904,1867,743,973,2236,2996,382,393,3769,1064,
15/06/2018,00:00,7109,4743,3038,5366,1731,2422,1571,4399,77,628,6761,2324,2472,3937,1533,3102,5181,6575,1196,700,8539,2530,
16/06/2018,00:00,5608,4720,2799,4755,1708,1487,1969,3572,47,585,4415,1859,1885,2069,2625,2925,4595,5770,834,348,6860,1850,
17/06/2018,00:00,4322,4125,2534,3909,1603,1423,2071,3279,74,494,3828,1627,1559,1874,2532,2744,4343,4941,725,262,5579,1560,
18/06/2018,00:00,3368,2083,1260,2553,540,1358,382,2580,25,251,3767,1261,1014,2348,593,1142,2412,3458,551,457,5936,1663,
19/06/2018,00:00,7604,5276,3625,5992,2089,3079,2159,4741,91,655,7889,2671,2923,4391,3244,3993,5082,7171,1487,922,11782,3521,
20/06/2018,00:00,6928,4461,3007,5146,1731,2766,1417,4373,87,691,7066,2437,2677,4003,2337,3269,4307,6332,1316,827,10185,3328,
21/06/2018,00:00,6981,5047,3341,5766,1698,2794,1543,4668,86,710,7392,2493,2897,4217,2566,3472,4709,6912,1441,920,9093,2888,
22/06/2018,00:00,6402,4679,3160,5239,1730,2311,1627,4480,71,656,6569,2202,2650,3523,2592,3249,4383,6444,1302,682,8127,2614,
23/06/2018,00:00,2586,2373,1528,2234,759,901,828,2200,94,291,2891,920,835,1137,1294,1502,2340,2713,432,195,3585,1255,
24/06/2018,00:00,2074,1830,1305,1865,1018,763,1576,1659,32,261,2090,938,895,991,1637,1646,2301,2427,459,162,2988,847,
25/06/2018,00:00,4284,4137,2574,4011,1954,1502,2728,3230,61,541,3827,1717,1772,1735,3525,2968,3890,5043,921,318,5428,1683,
26/06/2018,00:00,6966,4972,3258,5590,1779,2755,1810,4509,86,711,7106,2492,2760,3973,2852,3364,4576,6719,1476,882,8333,2876,
27/06/2018,00:00,6468,4524,2989,5186,1594,2515,1416,4181,69,657,6609,2287,2599,3774,2426,3127,4180,6166,1431,803,7892,2651,
28/06/2018,00:00,5713,3508,2185,4143,925,2017,750,3652,58,494,6064,1853,1830,3117,1123,1943,3465,4964,1038,678,6696,2313,
29/06/2018,00:00,6285,4496,2746,5197,1340,2038,1343,4152,50,588,6315,2079,2379,3186,2273,2769,3974,6056,1280,749,7799,2494,
30/06/2018,00:00,3128,2822,1628,2965,743,1009,1045,2771,50,332,3355,1128,1197,1379,1395,1689,2941,3839,551,211,4702,1412,
01/07/2018,00:00,2820,2381,1452,2595,766,871,1080,2280,19,296,2726,896,1107,1115,1656,1958,3072,3174,544,198,3472,1163,
02/07/2018,00:00,2546,2253,1429,2505,747,888,953,2517,38,311,2897,901,941,1192,1296,1596,2391,3422,459,171,3562,1071,
03/07/2018,00:00,5925,3984,2464,5060,1187,2087,1026,4053,41,564,6207,1866,2176,3223,2072,2644,3936,5841,1236,756,6987,2465,
04/07/2018,00:00,5990,4075,2607,4949,1226,2188,1029,4339,48,592,6546,1953,2242,3399,2135,2831,3725,5972,1268,745,7113,2470,
05/07/2018,00:00,5625,3879,2486,4661,1079,2003,838,4125,57,551,6103,1740,2043,3294,1686,2385,3416,5668,1132,719,6966,2246,
06/07/2018,00:00,6244,4314,2696,5023,1414,1969,1099,4059,53,589,6729,1915,2256,3410,1690,2459,3994,6124,1178,701,7676,2545,
07/07/2018,00:00,5297,4169,2552,4256,1394,1340,2133,3444,66,495,4670,1459,1822,1989,3315,2860,3965,496,920,387,5947,2197,
08/07/2018,00:00,4365,3926,2613,3775,1515,1255,2223,3345,58,480,3656,1372,1589,1692,3062,2856,3782,1457,733,294,5336,1507,
09/07/2018,00:00,5702,4405,2862,5038,1532,2408,1438,4211,66,627,6510,2273,2476,3465,2248,3002,3787,5456,1356,846,7984,2402,
10/07/2018,00:00,6443,5008,3328,5409,1664,2451,1335,4315,65,661,7198,2338,2552,3872,2355,3021,4287,6390,1426,880,9150,2833,
11/07/2018,00:00,7021,5227,3363,6000,1818,2725,1657,4610,116,729,7324,2432,2761,3952,3233,3924,4516,7240,1609,916,9008,3055,
12/07/2018,00:00,6743,4951,3270,5623,1839,2640,1531,4667,90,716,7364,2329,2704,3784,2767,3284,4211,6707,1549,838,9135,2999,
13/07/2018,00:00,6104,4494,2848,5164,1490,2161,1392,4303,68,619,5989,1973,2249,3370,2443,2814,4139,6096,1312,731,8097,2719,
14/07/2018,00:00,4265,3505,1913,3597,989,1111,1152,3147,45,403,3854,1097,1497,1531,2034,1962,3380,4645,885,315,5334,1782,
15/07/2018,00:00,4210,3882,2268,3839,1318,1279,1867,3307,62,454,3890,1282,1738,1551,2598,3110,3804,5159,828,272,5115,1886,
16/07/2018,00:00,5370,3967,2651,4752,1498,2347,1301,3915,68,606,6640,2092,2323,3381,2263,2685,3588,5953,1328,798,6907,2406,
17/07/2018,00:00,4758,3379,1957,4091,875,1914,907,3795,71,485,5830,1794,1715,3057,1409,1924,3435,5110,1011,670,6904,2220,
18/07/2018,00:00,6967,5142,3338,5946,1922,2636,1914,4524,103,758,7626,2407,3084,4041,3377,3600,4745,7200,1729,947,8991,3314,
19/07/2018,00:00,6335,4862,3075,5362,1622,2437,1605,4584,91,705,7433,2416,2814,3813,2591,3428,4331,6632,1575,870,9075,3292,
20/07/2018,00:00,5706,4322,2784,4936,1467,2060,1470,4439,71,621,6295,1982,2403,3266,2347,2950,4011,6062,1343,709,7798,2459,
21/07/2018,00:00,4351,3811,2342,4074,1389,1202,1950,3328,44,496,4180,1371,1599,1677,3151,2843,3474,5031,854,357,5470,1838,
22/07/2018,00:00,1949,1817,1125,1913,507,746,804,1930,40,243,2210,775,720,972,912,1404,1981,2377,360,148,3211,996,
23/07/2018,00:00,4592,3266,2112,3843,1034,2019,1140,3252,58,482,5772,1849,1970,3012,1678,2315,3284,4835,1102,680,6512,2099,
24/07/2018,00:00,4333,3007,1851,3706,866,1833,798,3280,41,363,5323,1686,1622,2914,1080,1699,2821,4394,939,637,6249,1990,
25/07/2018,00:00,2242,1390,884,1774,346,899,186,2073,26,163,2831,791,920,1571,456,1014,1452,2347,544,315,3106,1173,
26/07/2018,00:00,4641,3439,2115,3899,1011,1817,1225,3487,43,540,5517,1642,1786,2934,1681,2291,3185,4852,1019,597,6794,2032,
27/07/2018,00:00,4964,3758,2290,4292,1098,1874,1236,4066,43,528,6127,1833,2133,2845,1681,2480,3763,5532,1135,622,7168,2249,
28/07/2018,00:00,4193,3741,2222,3825,1250,1248,1731,3038,56,449,4126,1354,1590,1601,2767,2786,3270,4403,905,397,5182,1736,
29/07/2018,00:00,4205,3496,2261,3674,1437,1331,2223,2975,55,520,4471,1466,1600,1862,3004,3223,3937,4567,863,308,5412,1680,
30/07/2018,00:00,5391,4220,2799,4988,1566,2349,1750,4053,96,657,6458,2159,2582,3543,2440,3175,3908,5580,1433,797,7691,2399,
31/07/2018,00:00,6119,4690,3101,5377,1628,2583,1702,4282,94,698,7094,2190,2701,3645,2619,3214,3890,6093,1494,756,8119,2843,
